Table 1.12. National Income by Type of Income
Table 1.12. National Income by Type of Income
"Last Revised on: December 22, 2022 - Next Release Date January 26, 2023"
Line,,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,"    Farm",10.6,11.2,11.2,11.0,9.8,12.0,13.0,11.6,11.7,12.8,12.9,13.4,17.0,29.1,23.5,22.0,17.2,16.0,19.9,22.2,11.7,19.0,13.3,6.2,20.9,21.0,22.8,28.9,26.8,33.0,32.2,26.8,34.8,31.4,34.7,22.0,37.3,32.4,28.5,28.1,31.5,32.1,20.2,37.1,52.4,47.9,34.3,41.7,38.9,27.2,37.6,63.0,59.9,87.0,67.7,54.1,34.1,39.1,29.2,29.1,45.2,51.3
11,"    Nonfarm",39.9,42.0,44.0,45.4,49.4,51.6,54.9,57.8,62.2,64.2,64.9,70.5,78.1,83.4,88.7,96.2,113.8,128.5,146.1,157.3,159.9,160.7,157.9,180.1,207.3,220.1,233.7,257.6,298.7,308.1,321.0,327.4,365.4,396.6,422.0,459.2,506.4,551.6,611.7,668.3,722.4,798.9,849.8,860.4,910.5,931.2,1016.6,953.8,920.7,910.5,1069.7,1164.4,1286.4,1315.3,1377.9,1366.7,1389.2,1465.5,1539.5,1572.3,1597.9,1702.2
12,Rental income of persons with CCAdj,16.5,17.2,18.0,18.7,18.8,19.3,19.9,20.3,20.1,20.3,20.7,21.8,22.7,23.1,23.2,22.3,20.3,15.9,16.5,16.1,19.0,23.8,23.8,24.4,24.7,26.2,18.3,16.6,22.5,21.5,28.2,38.6,60.6,90.1,113.7,124.9,142.5,147.1,165.2,178.5,183.5,202.4,208.4,227.1,242.8,221.1,181.1,186.3,290.3,347.6,433.7,506.5,534.5,577.4,602.7,609.5,626.6,650.6,680.0,698.2,719.8,723.8
13,Corporate profits with IVA and CCAdj,54.7,55.9,64.0,70.5,77.7,89.3,96.1,93.9,101.7,98.4,86.2,100.6,117.2,133.4,125.7,138.9,174.3,205.8,238.6,249.0,223.6,247.5,229.9,279.8,337.9,354.5,324.4,366.0,414.5,414.3,417.7,452.6,477.2,524.6,624.8,706.2,789.5,869.7,808.5,834.9,786.6,758.7,911.7,1056.3,1289.3,1488.6,1646.3,1533.2,1285.8,1386.8,1728.7,1809.8,1997.4,2010.7,2120.2,2060.5,2037.7,2128.6,2311.9,2402.2,2260.1,2771.1
14,"    Taxes on corporate income",21.9,22.2,23.3,25.5,26.6,29.8,32.2,31.0,37.2,37.0,31.3,34.8,39.1,45.6,47.2,46.3,59.4,68.5,77.9,80.7,75.5,70.3,51.3,66.4,81.5,81.6,91.9,112.7,124.3,124.4,121.8,117.8,131.9,155.0,172.7,194.4,211.4,224.8,221.8,227.4,233.4,170.1,160.7,213.8,278.5,379.7,430.1,391.8,255.9,203.9,272.3,280.8,334.6,362.6,407.1,396.3,376.2,297.3,297.7,297.4,288.9,388.2
15,"    Profits after tax with IVA and CCAdj",32.8,33.7,40.7,45.0,51.1,59.5,63.9,62.9,64.6,61.5,55.0,65.8,78.1,87.8,78.5,92.6,114.9,137.3,160.7,168.2,148.1,177.2,178.6,213.3,256.4,272.9,232.5,253.3,290.2,289.9,295.9,334.8,345.3,369.5,452.1,511.8,578.1,645.0,586.6,607.5,553.1,588.6,751.0,842.5,1010.8,1108.9,1216.1,1141.4,1029.9,1182.9,1456.5,1529.0,1662.8,1648.1,1713.1,1664.2,1661.5,1831.2,2014.3,2104.7,1971.2,2382.8
16,"        Net dividends",14.3,14.6,15.8,17.1,19.8,21.5,22.3,23.4,26.0,27.3,27.8,28.4,30.1,34.2,38.8,38.3,44.9,50.7,57.8,66.8,75.8,87.8,92.9,97.7,106.9,115.3,124.0,130.1,147.3,179.6,192.7,201.3,206.3,221.3,256.4,282.3,323.6,360.1,383.6,373.5,410.2,397.9,424.9,456.0,582.2,602.0,755.1,853.5,840.3,622.1,643.2,779.1,948.7,1009.0,1096.1,1164.9,1189.4,1264.1,1338.4,1531.2,1541.3,1659.3
17,"        Undistributed profits with IVA and CCAdj",18.5,19.2,24.9,27.9,31.4,38.0,41.6,39.5,38.6,34.2,27.2,37.5,48.0,53.5,39.7,54.3,70.0,86.6,102.9,101.4,72.3,89.4,85.6,115.7,149.5,157.5,108.5,123.2,142.9,110.3,103.2,133.5,139.0,148.2,195.7,229.4,254.5,284.9,203.0,234.0,142.9,190.7,326.2,386.5,428.6,506.9,461.1,287.9,189.6,560.8,813.3,749.9,714.1,639.1,617.1,499.3,472.1,567.1,675.9,573.5,429.9,723.6
18,Net interest and miscellaneous payments,10.3,12.1,13.8,14.8,17.0,19.1,21.8,24.9,27.0,32.7,39.5,44.2,48.0,55.7,71.7,83.7,87.4,103.2,114.8,137.0,182.2,234.8,274.8,286.8,330.2,338.2,353.1,353.7,377.9,426.6,433.4,391.8,365.6,353.1,347.3,357.4,361.9,394.4,456.7,466.0,542.1,542.2,462.0,443.6,377.3,471.8,564.8,637.3,673.4,544.7,471.0,449.6,494.0,459.2,504.8,591.1,567.3,609.0,594.1,571.2,665.8,644.1
19,Taxes on production and imports,44.5,47.0,50.4,53.4,57.3,60.7,63.2,67.9,76.4,83.9,91.4,100.5,107.9,117.2,124.9,135.3,146.4,159.7,170.9,180.1,200.3,235.6,240.9,263.3,289.8,308.1,323.4,347.5,374.5,398.9,425.0,457.1,483.4,503.1,545.2,557.9,580.8,611.6,639.5,673.6,708.6,727.7,760.0,805.6,868.1,942.4,997.0,1036.8,1049.7,1026.8,1063.1,1103.7,1136.1,1188.7,1240.8,1275.2,1311.6,1367.4,1461.4,1530.0,1526.3,1663.4
20,Less: Subsidies2,1.1,2.0,2.3,2.2,2.7,3.0,3.9,3.8,4.2,4.5,4.8,4.7,6.6,5.2,3.3,4.5,5.1,7.1,8.9,8.5,9.8,11.5,15.0,21.3,21.1,21.4,24.9,30.3,29.5,27.4,27.0,27.5,30.1,36.7,32.5,34.8,35.2,33.8,36.4,45.2,45.8,58.7,41.4,49.1,46.4,60.9,51.5,54.6,52.6,58.3,55.8,60.0,58.0,59.7,58.1,57.2,61.7,59.9,63.3,73.0,657.3,481.9
21,Business current transfer payments (net),1.7,1.9,2.1,2.5,3.0,3.5,3.4,3.6,4.2,4.8,4.4,4.2,4.8,5.7,6.8,9.0,9.1,8.1,10.4,12.8,14.0,16.9,19.3,21.7,29.2,34.1,36.0,33.3,32.8,38.3,39.2,38.9,39.7,39.4,40.7,45.0,52.6,50.1,64.1,67.7,85.2,99.2,80.8,76.0,82.2,91.7,80.9,98.5,114.3,126.6,127.9,131.7,97.3,109.5,132.7,155.6,166.9,148.7,158.9,164.0,144.1,171.0
22,"    To persons (net)",1.3,1.4,1.5,1.9,2.2,2.3,2.1,2.3,2.8,3.3,2.9,2.7,3.1,3.9,4.7,6.8,6.7,5.1,6.5,8.2,8.6,11.2,12.4,13.8,19.7,22.3,22.9,20.2,20.6,23.2,22.2,17.6,16.3,14.1,13.3,18.7,22.9,19.4,26.0,34.0,42.4,46.8,34.2,26.3,16.8,25.8,20.8,30.8,35.8,39.0,43.7,48.5,40.4,38.4,42.9,50.3,59.7,48.3,50.1,55.1,44.1,71.0
23,"    To government (net)",0.4,0.5,0.6,0.7,0.8,1.2,1.3,1.4,1.4,1.5,1.4,1.5,1.7,1.8,2.1,2.2,2.4,3.0,3.9,4.5,5.4,5.7,6.9,7.9,9.4,11.8,13.0,13.1,12.2,15.1,17.0,21.3,23.6,25.6,27.9,24.9,30.7,29.8,34.3,36.5,41.9,43.9,46.2,48.3,52.4,53.4,57.5,60.9,69.5,86.1,84.1,86.8,69.0,84.7,98.1,110.5,105.3,99.7,104.8,97.5,97.5,97.4
24,"    To the rest of the world (net)",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,-0.1,-0.3,-0.4,1.4,-1.0,0.8,3.8,-2.7,0.8,8.6,0.3,1.5,13.1,12.5,2.6,6.9,9.0,1.5,0.0,-3.7,-12.1,-13.6,-8.3,-5.2,1.9,0.7,4.1,11.4,2.5,2.7
25,Current surplus of government enterprises2,0.5,0.3,0.4,0.8,0.9,0.8,0.4,0.3,0.5,0.2,-1.0,-1.5,-0.9,-2.0,-2.4,-4.1,-2.4,-3.0,-2.4,-2.7,-4.5,-4.7,-3.4,-1.9,-0.9,1.9,2.5,2.7,5.6,7.3,3.7,8.2,10.4,11.4,12.7,16.5,17.8,18.1,16.9,16.8,11.5,5.7,7.6,5.1,0.1,-4.5,-7.0,-14.2,-18.2,-16.1,-20.1,-19.4,-15.4,-15.9,-11.0,-5.3,-4.4,-6.5,-7.9,-14.2,-0.1,2.1
,Addenda for corporate cash flow:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,"    Net cash flow with IVA",47.1,48.8,55.9,60.4,65.9,75.2,82.5,84.6,88.7,90.0,89.1,105.2,121.7,135.6,136.0,168.0,195.3,227.2,262.4,285.0,284.7,334.5,358.4,401.6,452.7,484.4,458.4,494.5,542.8,535.4,557.9,611.8,622.9,664.0,734.3,818.4,880.8,954.9,918.0,1002.8,981.5,1084.1,1240.8,1319.1,1392.1,1536.7,1580.3,1476.8,1510.4,1908.2,2105.0,2113.4,2114.0,2095.0,2141.3,2090.7,2095.1,1991.1,2447.7,2467.3,2374.7,2778.9
27,"        Undistributed profits with IVA and CCAdj",18.5,19.2,24.9,27.9,31.4,38.0,41.6,39.5,38.6,34.2,27.2,37.5,48.0,53.5,39.7,54.3,70.0,86.6,102.9,101.4,72.3,89.4,85.6,115.7,149.5,157.5,108.5,123.2,142.9,110.3,103.2,133.5,139.0,148.2,195.7,229.4,254.5,284.9,203.0,234.0,142.9,190.7,326.2,386.5,428.6,506.9,461.1,287.9,189.6,560.8,813.3,749.9,714.1,639.1,617.1,499.3,472.1,567.1,675.9,573.5,429.9,723.6
28,"        Consumption of fixed capital",28.5,29.5,30.8,32.4,34.4,37.1,40.9,45.1,50.0,55.7,61.8,67.6,73.4,82.0,96.0,113.5,125.0,140.5,159.3,183.4,212.1,244.9,272.5,285.9,303.2,326.9,349.9,371.3,399.9,427.1,454.7,479.6,494.3,517.2,547.6,590.4,626.3,670.1,715.0,769.6,838.6,888.6,914.6,932.5,973.0,1042.0,1119.3,1188.9,1256.6,1263.8,1271.2,1324.6,1392.5,1450.2,1527.5,1588.2,1627.4,1701.4,1782.6,1881.3,1958.5,2068.2
29,"        Less: Capital transfers paid (net)",-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.3,-0.2,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.3,10.4,1.4,8.9,1.5,0.0,0.0,0.0,0.9,0.0,-4.8,0.0,-0.1,9.5,12.2,0.0,0.0,-64.2,-83.6,-20.6,-38.8,-7.4,-5.7,3.3,-3.2,4.4,277.4,10.7,-12.4,13.6,12.8
,Addenda:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,"    Proprietors' income with IVA and CCAdj",50.6,53.2,55.2,56.4,59.1,63.7,67.9,69.5,73.8,77.0,77.8,83.9,95.1,112.5,112.2,118.2,131.0,144.5,166.0,179.4,171.6,179.7,171.2,186.3,228.2,241.1,256.5,286.5,325.5,341.1,353.2,354.2,400.2,428.0,456.6,481.2,543.8,584.0,640.2,696.4,753.9,831.0,870.0,897.5,962.9,979.1,1050.9,995.5,959.7,937.6,1107.3,1227.4,1346.4,1402.2,1445.6,1420.8,1423.3,1504.6,1568.7,1601.4,1643.1,1753.6
31,"        Farm",10.6,11.2,11.2,11.0,9.8,12.0,13.0,11.6,11.7,12.8,12.9,13.4,17.0,29.1,23.5,22.0,17.2,16.0,19.9,22.2,11.7,19.0,13.3,6.2,20.9,21.0,22.8,28.9,26.8,33.0,32.2,26.8,34.8,31.4,34.7,22.0,37.3,32.4,28.5,28.1,31.5,32.1,20.2,37.1,52.4,47.9,34.3,41.7,38.9,27.2,37.6,63.0,59.9,87.0,67.7,54.1,34.1,39.1,29.2,29.1,45.2,51.3
32,"            Proprietors' income with IVA",11.2,11.8,11.7,11.5,10.3,12.5,13.6,12.3,12.3,13.6,13.8,14.5,18.2,30.3,25.3,24.6,20.1,19.3,23.7,26.6,17.3,25.6,20.4,13.1,27.6,27.2,28.9,34.8,32.5,38.8,37.8,32.5,40.4,36.8,40.1,27.4,42.6,37.4,33.2,32.9,36.1,36.7,24.7,41.6,57.2,53.4,40.1,47.8,45.4,33.4,43.4,68.9,65.8,92.8,73.7,60.0,40.0,45.1,35.5,35.7,51.8,59.1
33,"            Capital consumption adjustment",-0.6,-0.5,-0.5,-0.5,-0.5,-0.5,-0.6,-0.6,-0.7,-0.8,-0.9,-1.1,-1.2,-1.3,-1.8,-2.6,-2.9,-3.3,-3.8,-4.5,-5.6,-6.6,-7.1,-7.0,-6.7,-6.2,-6.1,-5.9,-5.7,-5.7,-5.7,-5.7,-5.6,-5.5,-5.4,-5.4,-5.3,-5.0,-4.8,-4.7,-4.6,-4.6,-4.5,-4.5,-4.8,-5.4,-5.8,-6.1,-6.5,-6.3,-5.8,-5.9,-5.8,-5.8,-6.0,-5.9,-5.9,-6.0,-6.3,-6.6,-6.7,-7.8
34,"        Nonfarm",39.9,42.0,44.0,45.4,49.4,51.6,54.9,57.8,62.2,64.2,64.9,70.5,78.1,83.4,88.7,96.2,113.8,128.5,146.1,157.3,159.9,160.7,157.9,180.1,207.3,220.1,233.7,257.6,298.7,308.1,321.0,327.4,365.4,396.6,422.0,459.2,506.4,551.6,611.7,668.3,722.4,798.9,849.8,860.4,910.5,931.2,1016.6,953.8,920.7,910.5,1069.7,1164.4,1286.4,1315.3,1377.9,1366.7,1389.2,1465.5,1539.5,1572.3,1597.9,1702.2
35,"            Proprietors' income (without IVA and CCAdj)",40.1,42.2,44.2,45.5,49.4,52.1,55.6,58.6,63.0,65.0,65.9,71.8,79.0,85.5,92.8,98.9,116.2,130.7,148.3,159.1,161.7,157.2,154.4,167.8,185.3,189.1,197.9,228.1,270.4,280.2,303.7,313.0,349.7,381.3,411.7,449.5,490.5,526.0,579.5,627.7,674.0,728.2,761.9,767.7,814.9,870.5,948.6,881.2,785.6,774.8,930.5,977.7,1125.4,1122.2,1172.2,1130.8,1138.7,1161.9,1181.2,1192.4,1187.1,1297.1
36,"            Inventory valuation adjustment",0.0,0.0,0.0,0.0,-0.1,-0.2,-0.2,-0.2,-0.4,-0.5,-0.5,-0.6,-0.7,-1.9,-3.4,-1.1,-1.1,-1.1,-1.9,-2.6,-2.9,-1.3,-0.5,-0.5,-0.4,-0.2,0.0,-0.8,-1.2,-1.3,-1.1,-0.1,-0.5,-0.4,-0.7,-1.5,-0.4,1.0,1.3,-0.9,-1.7,1.0,0.8,-1.9,-4.5,-4.0,-3.6,-6.1,-5.5,0.6,-7.0,-9.7,-1.7,1.7,1.0,9.4,0.7,-7.0,-7.7,-0.3,-4.6,-36.5
37,"            Capital consumption adjustment",-0.2,-0.3,-0.1,0.0,0.0,-0.3,-0.5,-0.5,-0.4,-0.4,-0.5,-0.8,-0.2,-0.2,-0.7,-1.5,-1.4,-1.0,-0.4,0.8,1.1,4.7,4.0,12.8,22.4,31.2,35.8,30.3,29.5,29.2,18.4,14.5,16.2,15.7,11.0,11.1,16.4,24.6,30.9,41.5,50.1,69.7,87.1,94.6,100.2,64.7,71.5,78.6,140.6,135.1,146.3,196.4,162.8,191.3,204.8,226.5,249.9,310.5,365.9,380.1,415.4,441.6
38,"    Rental income of persons with CCAdj",16.5,17.2,18.0,18.7,18.8,19.3,19.9,20.3,20.1,20.3,20.7,21.8,22.7,23.1,23.2,22.3,20.3,15.9,16.5,16.1,19.0,23.8,23.8,24.4,24.7,26.2,18.3,16.6,22.5,21.5,28.2,38.6,60.6,90.1,113.7,124.9,142.5,147.1,165.2,178.5,183.5,202.4,208.4,227.1,242.8,221.1,181.1,186.3,290.3,347.6,433.7,506.5,534.5,577.4,602.7,609.5,626.6,650.6,680.0,698.2,719.8,723.8
39,"        Rental income of persons (without CCAdj)",17.0,17.7,18.6,19.2,19.3,19.9,20.5,21.0,20.9,21.3,21.7,23.0,24.1,24.8,25.2,24.7,23.0,19.1,20.4,20.7,24.3,29.7,30.1,30.8,31.1,32.8,25.2,23.9,30.0,29.3,36.0,46.4,68.4,98.3,122.2,133.7,151.5,156.3,174.7,188.5,194.2,213.9,220.2,239.7,256.8,236.8,198.3,203.5,306.5,362.2,447.7,520.5,548.6,593.0,619.9,627.2,645.2,670.5,701.8,720.8,743.4,752.2
40,"        Capital consumption adjustment",-0.6,-0.5,-0.5,-0.5,-0.5,-0.5,-0.6,-0.7,-0.8,-1.0,-1.0,-1.2,-1.4,-1.7,-2.0,-2.4,-2.7,-3.2,-3.9,-4.6,-5.3,-5.9,-6.3,-6.3,-6.5,-6.6,-6.9,-7.3,-7.5,-7.8,-7.9,-7.8,-7.8,-8.2,-8.5,-8.8,-9.0,-9.2,-9.5,-10.0,-10.7,-11.5,-11.8,-12.6,-14.0,-15.7,-17.2,-17.2,-16.3,-14.6,-14.0,-14.0,-14.2,-15.5,-17.2,-17.7,-18.6,-19.9,-21.9,-22.6,-23.5,-28.4
41,"    Corporate profits with IVA and CCAdj",54.7,55.9,64.0,70.5,77.7,89.3,96.1,93.9,101.7,98.4,86.2,100.6,117.2,133.4,125.7,138.9,174.3,205.8,238.6,249.0,223.6,247.5,229.9,279.8,337.9,354.5,324.4,366.0,414.5,414.3,417.7,452.6,477.2,524.6,624.8,706.2,789.5,869.7,808.5,834.9,786.6,758.7,911.7,1056.3,1289.3,1488.6,1646.3,1533.2,1285.8,1386.8,1728.7,1809.8,1997.4,2010.7,2120.2,2060.5,2037.7,2128.6,2311.9,2402.2,2260.1,2771.1
42,"        Corporate profits with IVA",53.7,54.2,59.2,64.5,71.0,81.9,88.3,86.1,94.3,90.8,79.7,94.7,109.3,126.6,123.3,144.2,182.1,212.8,246.7,261.0,240.6,252.0,224.8,256.4,294.3,289.7,273.3,314.6,366.2,373.1,391.2,434.2,459.7,501.9,589.3,667.0,741.8,811.0,743.8,761.9,729.8,697.1,797.4,955.7,1217.5,1629.2,1812.2,1708.3,1344.5,1470.1,1786.4,1750.2,2144.7,2165.9,2266.6,2184.6,2138.8,2148.2,2210.1,2306.2,2373.5,2881.2
43,"            Profits before tax (without IVA and CCAdj)",53.9,53.9,59.2,64.4,71.4,83.1,90.4,87.6,97.9,96.7,86.3,99.3,115.9,146.1,161.5,154.8,196.2,228.5,270.4,301.1,282.8,276.6,232.3,263.9,298.2,289.6,266.2,330.8,388.4,389.4,404.1,429.3,462.6,505.9,601.7,685.3,738.7,796.9,728.1,765.9,746.6,689.0,788.5,970.1,1257.7,1665.2,1844.2,1751.9,1379.3,1467.5,1834.0,1818.2,2156.1,2151.5,2264.5,2128.3,2134.2,2194.6,2257.7,2304.8,2399.8,3138.1
44,"                Taxes on corporate income",21.9,22.2,23.3,25.5,26.6,29.8,32.2,31.0,37.2,37.0,31.3,34.8,39.1,45.6,47.2,46.3,59.4,68.5,77.9,80.7,75.5,70.3,51.3,66.4,81.5,81.6,91.9,112.7,124.3,124.4,121.8,117.8,131.9,155.0,172.7,194.4,211.4,224.8,221.8,227.4,233.4,170.1,160.7,213.8,278.5,379.7,430.1,391.8,255.9,203.9,272.3,280.8,334.6,362.6,407.1,396.3,376.2,297.3,297.7,297.4,288.9,388.2
45,"                Profits after tax (without IVA and CCAdj)",32.0,31.7,35.9,38.9,44.9,53.3,58.2,56.6,60.7,59.7,55.0,64.5,76.8,100.5,114.3,108.5,136.8,160.0,192.6,220.4,207.3,206.3,181.0,197.5,216.8,208.0,174.3,218.1,264.1,265.0,282.2,311.5,330.6,350.9,429.0,490.8,527.4,572.1,506.3,538.5,513.1,518.9,627.9,756.4,979.2,1285.4,1414.0,1360.2,1123.4,1263.6,1561.7,1537.5,1821.5,1788.9,1857.4,1732.0,1758.1,1897.3,1960.0,2007.4,2110.9,2749.8
46,"                    Net dividends",14.3,14.6,15.8,17.1,19.8,21.5,22.3,23.4,26.0,27.3,27.8,28.4,30.1,34.2,38.8,38.3,44.9,50.7,57.8,66.8,75.8,87.8,92.9,97.7,106.9,115.3,124.0,130.1,147.3,179.6,192.7,201.3,206.3,221.3,256.4,282.3,323.6,360.1,383.6,373.5,410.2,397.9,424.9,456.0,582.2,602.0,755.1,853.5,840.3,622.1,643.2,779.1,948.7,1009.0,1096.1,1164.9,1189.4,1264.1,1338.4,1531.2,1541.3,1659.3
47,"                    Undistributed profits (without IVA and CCAdj)",17.7,17.1,20.1,21.8,25.1,31.8,35.8,33.2,34.7,32.4,27.2,36.1,46.7,66.3,75.5,70.2,91.9,109.3,134.8,153.6,131.5,118.5,88.1,99.8,109.9,92.7,50.3,88.0,116.8,85.4,89.6,110.2,124.4,129.6,172.6,208.5,203.7,212.0,122.6,165.0,102.9,121.0,203.0,300.4,397.0,683.4,659.0,506.7,283.1,641.5,918.5,758.4,872.8,779.9,761.3,567.1,568.7,633.1,621.7,476.2,569.6,1090.6
